,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
22,2018-04-07,STL,24.0,105,9.4,3.4,2.8,0.8,23.8%,8.6%,15.2%,.305,1.58,.397,80.1%,3.41,3.91
23,2018-04-07,CHC,32.1,131,9.7,4.2,2.3,0.0,26.7%,11.5%,15.3%,.183,1.11,.263,91.9%,2.48,3.86
24,2018-04-07,SEA,19.2,81,9.6,1.4,7.0,1.8,25.9%,3.7%,22.2%,.237,1.07,.275,86.2%,4.43,3.80
25,2018-04-07,MIL,36.2,145,9.1,2.9,3.1,0.5,25.5%,8.3%,17.2%,.212,1.09,.280,83.8%,2.92,3.33
26,2018-04-07,HOU,25.0,106,10.1,1.8,5.6,0.7,26.4%,4.7%,21.7%,.260,1.24,.343,78.8%,2.68,3.29
27,2018-04-07,NYY,31.2,136,13.1,4.0,3.3,1.4,33.8%,10.3%,23.5%,.221,1.29,.310,61.8%,3.63,3.20
28,2018-04-07,SFG,19.1,79,11.2,3.3,3.4,0.5,30.4%,8.9%,21.5%,.222,1.19,.319,78.7%,2.44,3.13
29,2018-04-07,NYM,23.1,91,13.1,3.5,3.8,0.8,37.4%,9.9%,27.5%,.161,0.94,.244,99.0%,2.65,3.09
0,2018-04-08,CHW,23.1,113,8.9,5.0,1.8,1.2,20.3%,11.5%,8.8%,.286,1.76,.347,56.7%,4.79,5.67
1,2018-04-08,CIN,23.1,109,8.1,5.0,1.6,1.5,19.3%,11.9%,7.3%,.290,1.71,.338,58.8%,5.65,5.47
2,2018-04-08,PIT,33.1,149,7.6,5.4,1.4,0.5,18.8%,13.4%,5.4%,.250,1.56,.306,63.7%,4.15,5.06
3,2018-04-08,DET,28.2,121,7.8,3.5,2.3,0.6,20.7%,9.1%,11.6%,.220,1.22,.268,60.2%,3.58,5.03
4,2018-04-08,KCR,18.1,79,5.9,3.9,1.5,2.0,15.2%,10.1%,5.1%,.243,1.36,.241,63.7%,6.16,4.95
5,2018-04-08,ATL,35.2,156,8.8,6.8,1.3,0.0,22.4%,17.3%,5.1%,.173,1.37,.239,86.3%,3.64,4.93
6,2018-04-08,TBR,37.1,159,7.7,4.1,1.9,1.0,20.1%,10.7%,9.4%,.221,1.29,.260,74.3%,4.37,4.88
7,2018-04-08,CLE,24.1,99,8.5,3.0,2.9,1.5,23.2%,8.1%,15.2%,.204,1.07,.230,85.5%,4.76,4.53
8,2018-04-08,MIN,24.2,106,9.9,6.2,1.6,1.1,25.5%,16.0%,9.4%,.202,1.42,.254,77.9%,4.62,4.51
9,2018-04-08,PHI,27.1,119,7.6,3.6,2.1,1.3,19.3%,9.2%,10.1%,.217,1.24,.240,59.2%,4.81,4.48
10,2018-04-08,COL,34.0,139,7.4,3.4,2.2,0.8,20.1%,9.3%,10.8%,.228,1.21,.272,65.3%,4.07,4.38
11,2018-04-08,LAA,44.2,182,9.3,4.4,2.1,0.6,25.3%,12.1%,13.2%,.190,1.16,.248,84.3%,3.59,4.34
12,2018-04-08,WSN,24.2,105,10.6,4.4,2.4,1.5,27.6%,11.4%,16.2%,.211,1.26,.263,52.8%,4.74,4.31
13,2018-04-08,TEX,39.1,168,9.2,4.1,2.2,0.7,23.8%,10.7%,13.1%,.222,1.30,.283,73.2%,3.57,4.30
14,2018-04-08,BAL,36.2,155,8.8,4.7,1.9,1.0,23.2%,12.3%,11.0%,.212,1.28,.261,70.5%,4.50,4.30
15,2018-04-08,OAK,36.1,159,6.4,2.2,2.9,1.0,16.4%,5.7%,10.7%,.289,1.43,.328,73.8%,3.99,4.28
16,2018-04-08,MIA,45.2,197,8.9,3.5,2.5,1.0,22.8%,9.1%,13.7%,.242,1.34,.297,65.5%,3.86,4.14
17,2018-04-08,LAD,34.2,141,8.3,2.9,2.9,1.0,22.7%,7.8%,14.9%,.246,1.24,.298,77.5%,3.77,4.03
18,2018-04-08,BOS,28.2,119,10.4,5.0,2.1,0.6,27.7%,13.5%,14.3%,.186,1.22,.254,72.3%,3.54,4.02
19,2018-04-08,TOR,29.2,121,9.1,2.1,4.3,1.5,24.8%,5.8%,19.0%,.232,1.11,.273,89.3%,4.24,3.94
20,2018-04-08,ARI,30.1,119,8.3,3.3,2.5,0.6,23.5%,9.2%,14.3%,.167,0.96,.205,87.8%,3.26,3.93
21,2018-04-08,CHC,35.1,143,9.9,3.8,2.6,0.0,27.3%,10.5%,16.8%,.182,1.08,.264,90.0%,2.40,3.85
22,2018-04-08,MIL,39.2,162,8.6,3.6,2.4,0.5,23.5%,9.9%,13.6%,.221,1.21,.286,77.9%,3.19,3.78
23,2018-04-08,SFG,28.1,120,9.8,3.8,2.6,0.6,25.8%,10.0%,15.8%,.222,1.27,.293,84.3%,3.16,3.76
24,2018-04-08,SDP,37.1,151,9.6,3.4,2.9,0.7,26.5%,9.3%,17.2%,.184,1.04,.237,69.8%,3.27,3.68
