,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
3,2018-04-20,Ian Kennedy,KCR,23.0,100,8.6,2.7,3.1,1.2,22.0%,7.0%,15.0%,.247,1.30,.294,85.3%,3.86,3.96
4,2018-04-20,Carlos Carrasco,CLE,27.2,102,6.8,1.3,5.3,1.0,20.6%,3.9%,16.7%,.184,0.80,.203,78.6%,3.49,3.63
5,2018-04-20,Corey Kluber,CLE,29.2,109,10.0,1.8,5.5,0.6,30.3%,5.5%,24.8%,.155,0.74,.206,88.5%,2.42,2.88
6,2018-04-20,Jose Berrios,MIN,27.2,99,9.4,0.3,29.0,0.3,29.3%,1.0%,28.3%,.155,0.58,.209,76.9%,1.75,2.65
0,2018-04-21,James Shields,CHW,22.2,103,4.4,4.4,1.0,0.4,10.7%,10.7%,0.0%,.275,1.59,.304,61.8%,4.35,5.67
1,2018-04-21,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
2,2018-04-21,Michael Fulmer,DET,23.1,100,5.0,2.3,2.2,1.2,13.0%,6.0%,7.0%,.283,1.37,.303,73.8%,4.75,4.70
3,2018-04-21,Jakob Junis,KCR,26.2,102,6.8,1.7,4.0,1.0,19.6%,4.9%,14.7%,.160,0.75,.169,90.4%,4.02,4.67
4,2018-04-21,Danny Duffy,KCR,21.0,90,9.9,4.7,2.1,1.3,25.6%,12.2%,13.3%,.203,1.29,.245,74.6%,4.40,4.67
5,2018-04-21,Jason Hammel,KCR,25.1,105,5.7,2.5,2.3,0.4,15.2%,6.7%,8.6%,.235,1.18,.272,73.4%,3.24,4.62
6,2018-04-21,Trevor Bauer,CLE,27.0,114,9.0,3.3,2.7,0.7,23.7%,8.8%,14.9%,.198,1.11,.250,82.8%,3.57,4.44
7,2018-04-21,Ian Kennedy,KCR,23.0,100,8.6,2.7,3.1,1.2,22.0%,7.0%,15.0%,.247,1.30,.294,85.3%,3.86,3.96
8,2018-04-21,Carlos Carrasco,CLE,27.2,102,6.8,1.3,5.3,1.0,20.6%,3.9%,16.7%,.184,0.80,.203,78.6%,3.49,3.63
9,2018-04-21,Corey Kluber,CLE,29.2,109,10.0,1.8,5.5,0.6,30.3%,5.5%,24.8%,.155,0.74,.206,88.5%,2.42,2.88
10,2018-04-21,Jose Berrios,MIN,27.2,99,9.4,0.3,29.0,0.3,29.3%,1.0%,28.3%,.155,0.58,.209,76.9%,1.75,2.65
0,2018-04-22,Lucas Giolito,CHW,20.0,99,4.0,8.6,0.5,0.5,9.1%,19.2%,-10.1%,.237,1.85,.258,50.5%,6.36,8.60
1,2018-04-22,James Shields,CHW,22.2,103,4.4,4.4,1.0,0.4,10.7%,10.7%,0.0%,.275,1.59,.304,61.8%,4.35,5.67
2,2018-04-22,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
3,2018-04-22,Danny Duffy,KCR,25.2,117,8.8,4.6,1.9,1.4,21.4%,11.1%,10.3%,.250,1.52,.293,68.9%,4.76,4.79
4,2018-04-22,Michael Fulmer,DET,23.1,100,5.0,2.3,2.2,1.2,13.0%,6.0%,7.0%,.283,1.37,.303,73.8%,4.75,4.70
5,2018-04-22,Mike Clevinger,CLE,25.2,99,6.0,2.8,2.1,0.4,17.2%,8.1%,9.1%,.209,1.05,.247,85.9%,3.28,4.70
6,2018-04-22,Jakob Junis,KCR,26.2,102,6.8,1.7,4.0,1.0,19.6%,4.9%,14.7%,.160,0.75,.169,90.4%,4.02,4.67
7,2018-04-22,Kyle Gibson,MIN,21.0,94,8.6,4.7,1.8,0.4,21.3%,11.7%,9.6%,.232,1.43,.295,67.6%,3.59,4.62
8,2018-04-22,Jason Hammel,KCR,25.1,105,5.7,2.5,2.3,0.4,15.2%,6.7%,8.6%,.235,1.18,.272,73.4%,3.24,4.62
9,2018-04-22,Trevor Bauer,CLE,27.0,114,9.0,3.3,2.7,0.7,23.7%,8.8%,14.9%,.198,1.11,.250,82.8%,3.57,4.44
10,2018-04-22,Ian Kennedy,KCR,23.0,100,8.6,2.7,3.1,1.2,22.0%,7.0%,15.0%,.247,1.30,.294,85.3%,3.86,3.96
11,2018-04-22,Carlos Carrasco,CLE,27.2,102,6.8,1.3,5.3,1.0,20.6%,3.9%,16.7%,.184,0.80,.203,78.6%,3.49,3.63
12,2018-04-22,Corey Kluber,CLE,29.2,109,10.0,1.8,5.5,0.6,30.3%,5.5%,24.8%,.155,0.74,.206,88.5%,2.42,2.88
13,2018-04-22,Jose Berrios,MIN,27.2,99,9.4,0.3,29.0,0.3,29.3%,1.0%,28.3%,.155,0.58,.209,76.9%,1.75,2.65
0,2018-04-23,Lucas Giolito,CHW,20.0,99,4.0,8.6,0.5,0.5,9.1%,19.2%,-10.1%,.237,1.85,.258,50.5%,6.36,8.60
1,2018-04-23,James Shields,CHW,22.2,103,4.4,4.4,1.0,0.4,10.7%,10.7%,0.0%,.275,1.59,.304,61.8%,4.35,5.67
2,2018-04-23,Reynaldo Lopez,CHW,24.0,97,8.6,5.6,1.5,0.8,23.7%,15.5%,8.3%,.146,1.13,.175,90.9%,4.20,5.12
3,2018-04-23,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
4,2018-04-23,Danny Duffy,KCR,25.2,117,8.8,4.6,1.9,1.4,21.4%,11.1%,10.3%,.250,1.52,.293,68.9%,4.76,4.79
5,2018-04-23,Francisco Liriano,DET,23.0,92,7.8,4.7,1.7,1.2,21.7%,13.0%,8.7%,.175,1.13,.193,82.6%,4.68,4.78
6,2018-04-23,Michael Fulmer,DET,23.1,100,5.0,2.3,2.2,1.2,13.0%,6.0%,7.0%,.283,1.37,.303,73.8%,4.75,4.70
7,2018-04-23,Mike Clevinger,CLE,25.2,99,6.0,2.8,2.1,0.4,17.2%,8.1%,9.1%,.209,1.05,.247,85.9%,3.28,4.70
8,2018-04-23,Jakob Junis,KCR,26.2,102,6.8,1.7,4.0,1.0,19.6%,4.9%,14.7%,.160,0.75,.169,90.4%,4.02,4.67
9,2018-04-23,Kyle Gibson,MIN,21.0,94,8.6,4.7,1.8,0.4,21.3%,11.7%,9.6%,.232,1.43,.295,67.6%,3.59,4.62
