,Date,Rot,VH,Team,Pitcher,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,hand,qp,concat,F5,game_id
630,2018-05-16,924,H,NYM,ZWHEELER-R,1,-101,134.0,+1.5(-130),8.0,-105,7.0,-115,R,Zack Wheeler,516924ZWHEELER-R,0,Game 631
631,2018-05-16,926,H,MIN,LLYNN-R,5,115,-108.0,+1.5(-162),9.5,-119,9.5,-110,R,Lance Lynn,516926LLYNN-R,2,Game 632
632,2018-05-17,952,H,MIA,CSMITH-L,0,128,145.0,+1.5(-121),8.0,-115,7.5,-120,L,Caleb Smith,517952CSMITH-L,0,Game 633
633,2018-05-17,954,H,PIT,CKUHL-R,5,-175,-128.0,-1.5(+166),8.5,-105,8.0,-102,R,Chad Kuhl,517954CKUHL-R,4,Game 634
634,2018-05-17,956,H,STL,LWEAVER-R,2,-130,-135.0,-1.5(+155),8.5,-115,8.5,-110,R,Luke Weaver,517956LWEAVER-R,0,Game 635
635,2018-05-17,960,H,SFO,JSAMARDZIJA-R,3,101,-143.0,-1.5(+150),8.0,-105,8.0,-110,R,Jeff Samardzija,517960JSAMARDZIJA-R,1,Game 636
636,2018-05-17,962,H,TOR,ASANCHEZ-R,5,-131,-116.0,-1.5(+163),9.5,-115,9.5,-113,R,Aaron Sanchez,517962ASANCHEZ-R,4,Game 637
637,2018-05-17,964,H,CWS,JSHIELDS-R,4,120,104.0,+1.5(-157),9.0,-105,9.5,-116,R,James Shields,517964JSHIELDS-R,0,Game 638
638,2018-05-17,966,H,LAA,TSKAGGS-L,1,-150,-170.0,-1.5(+115),8.0,-105,7.5,-112,L,Tyler Skaggs,517966TSKAGGS-L,0,Game 639
639,2018-05-17,968,H,SEA,MGONZALES-L,2,-155,-180.0,-1.5(+115),8.5,-115,8.0,-111,L,Marco Gonzales,517968MGONZALES-L,2,Game 640
640,2018-05-17,970,H,BOS,DPRICE-L,6,-170,-160.0,-1.5(+121),9.0,100,9.5,-110,L,David Price,517970DPRICE-L,6,Game 641
641,2018-05-18,904,H,PIT,INOVA-R,2,-125,-119.0,-1.5(+171),8.0,-120,7.5,-108,R,Ivan Nova,518904INOVA-R,2,Game 642
642,2018-05-18,906,H,NYM,JDEGROM-R,3,-155,-144.0,-1.5(+163),7.0,-105,6.5,-101,R,Jacob deGrom,518906JDEGROM-R,3,Game 643
643,2018-05-18,907,H,CIN,HBAILEY-R,1,170,157.0,+1.5(-116),9.5,-115,9.5,-115,R,Homer Bailey,518907HBAILEY-R,1,Game 644
644,2018-05-18,910,H,ATL,MWISLER-R,0,-215,-170.0,-1.5(+101),9.0,100,9.0,105,,,518910MWISLER-R,0,Game 645
645,2018-05-18,912,H,STL,MWACHA-R,12,-104,-141.0,-1.5(+151),7.5,100,8.0,-110,R,Michael Wacha,518912MWACHA-R,6,Game 646
646,2018-05-18,914,H,SFO,DHOLLAND-L,1,-105,-113.0,-1.5(+173),8.5,-110,8.5,-115,L,Derek Holland,518914DHOLLAND-L,1,Game 647
647,2018-05-18,916,H,TOR,MESTRADA-R,1,-150,-126.0,-1.5(+148),10.0,-110,9.5,-111,R,Marco Estrada,518916MESTRADA-R,1,Game 648
648,2018-05-18,918,H,BOS,DPOMERANZ-L,4,-195,-185.0,-1.5(-101),10.0,100,9.5,-107,L,Drew Pomeranz,518918DPOMERANZ-L,3,Game 649
649,2018-05-18,920,H,HOU,CMORTON-R,4,-160,-170.0,-1.5(+120),8.0,-112,7.5,-117,R,Charlie Morton,518920CMORTON-R,1,Game 650
650,2018-05-18,922,H,CWS,CFULMER-R,5,105,105.0,+1.5(-145),9.5,100,9.5,-113,R,Carson Fulmer,518922CFULMER-R,5,Game 651
651,2018-05-18,924,H,KAN,JJUNIS-R,5,155,165.0,+1.5(+104),9.5,-110,9.0,100,R,Jakob Junis,518924JJUNIS-R,4,Game 652
652,2018-05-18,926,H,LAA,NTROPEANO-R,3,-125,-145.0,-1.5(+148),8.5,-120,8.0,100,R,Nick Tropeano,518926NTROPEANO-R,2,Game 653
653,2018-05-18,928,H,SEA,FHERNANDEZ-R,5,-155,-175.0,-1.5(+123),8.0,100,7.5,100,R,Felix Hernandez,518928FHERNANDEZ-R,0,Game 654
654,2018-05-18,930,H,MIN,KGIBSON-R,3,-135,-147.0,-1.5(+140),9.0,-120,9.0,-120,R,Kyle Gibson,518930KGIBSON-R,0,Game 655
655,2018-05-19,952,H,STL,JGANT-R,6,-117,-109.0,-1.5(+172),8.5,-110,9.5,-117,R,John Gant,519952JGANT-R,4,Game 656
656,2018-05-19,954,H,SFO,CSTRATTON-R,9,-110,103.0,+1.5(-165),8.0,-110,7.5,-115,R,Chris Stratton,519954CSTRATTON-R,7,Game 657
657,2018-05-19,956,H,WAS,MSCHERZER-R,4,-145,-220.0,-1.5(-104),8.5,100,7.0,-110,R,Max Scherzer,519956MSCHERZER-R,0,Game 658
658,2018-05-19,958,H,PIT,NKINGHAM-R,2,-138,-145.0,-1.5(+144),7.5,-105,7.5,-119,R,Nick Kingham,519958NKINGHAM-R,0,Game 659
659,2018-05-19,960,H,NYM,SMATZ-L,5,105,116.0,+1.5(-151),7.0,100,7.0,-125,L,Steven Matz,519960SMATZ-L,2,Game 660
660,2018-05-19,962,H,ATL,SNEWCOMB-L,8,-190,-205.0,-1.5(-110),8.5,100,8.5,-110,L,Sean Newcomb,519962SNEWCOMB-L,4,Game 661
661,2018-05-19,964,H,CIN,SROMANO-R,0,143,163.0,+1.5(-101),9.0,-105,9.0,100,R,Sal Romano,519964SROMANO-R,0,Game 662
662,2018-05-19,966,H,TOR,SGAVIGLIO-R,4,115,-101.0,+1.5(-165),9.5,-120,9.0,-101,R,Sam Gaviglio,519966SGAVIGLIO-R,4,Game 663
663,2018-05-19,968,H,HOU,DKEUCHEL-L,4,-115,-111.0,-1.5(+176),7.0,-110,7.0,110,L,Dallas Keuchel,519968DKEUCHEL-L,0,Game 664
664,2018-05-19,970,H,BOS,RPORCELLO-R,6,-205,-190.0,-1.5(-101),9.5,-120,9.0,100,R,Rick Porcello,519970RPORCELLO-R,4,Game 665
665,2018-05-19,972,H,CWS,LGIOLITO-R,5,-112,111.0,+1.5(-147),9.5,-120,10.0,-110,R,Lucas Giolito,519972LGIOLITO-R,4,Game 666
666,2018-05-19,974,H,KAN,DDUFFY-L,3,220,247.0,+1.5(+148),8.5,-110,8.0,-101,L,Danny Duffy,519974DDUFFY-L,3,Game 667
667,2018-05-19,976,H,LAA,AHEANEY-L,3,-170,-180.0,-1.5(+115),8.5,-110,8.0,-115,L,Andrew Heaney,519976AHEANEY-L,0,Game 668
668,2018-05-19,978,H,SEA,JPAXTON-L,7,-240,-270.0,-1.5(-125),7.5,-110,7.5,-102,L,James Paxton,519978JPAXTON-L,3,Game 669
669,2018-05-19,980,H,MIN,FROMERO-R,4,-120,-106.0,-1.5(+184),8.5,-115,8.0,100,R,Fernando Romero,519980FROMERO-R,4,Game 670
670,2018-05-19,982,H,CIN,LCASTILLO-R,5,138,111.0,+1.5(-150),8.5,-105,9.0,-117,R,Luis Castillo,519982LCASTILLO-R,2,Game 671
671,2018-05-19,984,H,WAS,TROARK-R,1,-145,-126.0,-1.5(+160),8.5,-110,8.5,100,R,Tanner Roark,519984TROARK-R,1,Game 672
672,2018-05-20,902,H,NYM,NSYNDERGAARD-R,4,-185,-185.0,-1.5(+115),7.0,-110,7.5,-105,R,Noah Syndergaard,520902NSYNDERGAARD-R,0,Game 673
673,2018-05-20,904,H,CIN,TMAHLE-R,1,135,125.0,+1.5(-134),9.0,-110,9.5,-119,R,Tyler Mahle,520904TMAHLE-R,1,Game 674
674,2018-05-20,906,H,ATL,JTEHERAN-R,10,-205,-190.0,-1.5(+100),9.0,-119,9.0,-115,R,Julio Teheran,520906JTEHERAN-R,0,Game 675
675,2018-05-20,908,H,PIT,TWILLIAMS-R,5,-135,-144.0,-1.5(+144),8.0,-120,8.0,100,R,Trevor Williams,520908TWILLIAMS-R,1,Game 676
676,2018-05-20,910,H,WAS,SSTRASBURG-R,2,-150,-133.0,-1.5(+163),7.5,-110,7.5,-112,R,Stephen Strasburg,520910SSTRASBURG-R,2,Game 677
677,2018-05-20,912,H,STL,JFLAHERTY-R,5,110,101.0,+1.5(-160),7.5,-110,8.0,-119,R,Jack Flaherty,520912JFLAHERTY-R,2,Game 678
