,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,source,qp_match,fit,hand,qp,concat
3643,814,978,H,HOU,JVERLANDER-R,0,0,0,0,1,0,0,0,0,1,-200,-202.0,-1.5(-105),7.5,-120,7.0,-110,JVERLANDER,JVerlander,100.0,R,Justin Verlander,814978JVERLANDER-R
3644,814,979,V,LAA,JBARRIA-R,0,2,0,1,2,0,1,0,1,7,-125,116.0,+1.5(-185),8.5,-110,8.5,-110,JBARRIA,JBarria,100.0,R,Jaime Barria,814979JBARRIA-R
3645,814,980,H,SDG,BKENNEDY-R,0,0,0,1,0,2,0,0,0,3,110,-131.0,-1.5(+160),8.5,-110,8.5,-110,BKENNEDY,BKennedy,100.0,R,Brett Kennedy,814980BKENNEDY-R
3646,815,901,V,MIL,JGUERRA-R,0,0,0,2,0,0,2,0,0,4,125,125.0,+1.5(-145),10.5,-115,9.0,-110,JGUERRA,JGuerra,100.0,R,Junior Guerra,815901JGUERRA-R
3647,815,902,H,CUB,KHENDRICKS-R,2,0,2,3,0,0,1,0,x,8,-140,-140.0,-1.5(+125),10.5,-105,9.0,-110,KHENDRICKS,KHendricks,100.0,R,Kyle Hendricks,815902KHENDRICKS-R
3648,815,903,V,MIA,JURENA-R,1,0,0,1,0,0,0,0,0,2,205,210.0,+1.5(+105),8.5,-125,8.5,-101,JURENA,JUrena,100.0,R,Jose Urena,815903JURENA-R
3649,815,904,H,ATL,KGAUSMAN-R,0,0,0,3,0,2,0,0,x,5,-235,-240.0,-1.5(-125),8.5,105,8.5,-119,KGAUSMAN,KGausman,100.0,R,Kevin Gausman,815904KGAUSMAN-R
3650,815,905,V,WAS,JHELLICKSON-R,0,0,0,0,0,0,0,0,2,2,103,105.0,+1.5(-210),9.0,100,9.0,-115,JHELLICKSON,JHellickson,100.0,R,Jeremy Hellickson,815905JHELLICKSON-R
3651,815,906,H,STL,AGOMBER-L,0,1,0,0,2,1,0,0,x,4,-113,-115.0,-1.5(+176),9.0,-120,9.0,-105,AGOMBER,AGomber,100.0,L,Austin Gomber,815906AGOMBER-L
3652,815,907,V,SFO,DHOLLAND-L,0,0,0,0,0,0,0,3,0,3,170,160.0,+1.5(-135),8.0,-120,8.0,-119,DHOLLAND,DHolland,100.0,L,Derek Holland,815907DHOLLAND-L
3653,815,908,H,LAD,HRYU-L,0,0,0,0,0,1,2,0,0,4,-190,-180.0,-1.5(+115),8.0,100,8.0,-101,HRYU,HRyu,100.0,L,Hyun-Jin Ryu,815908HRYU-L
3654,815,909,V,CWS,CRODON-L,0,0,2,2,2,0,0,0,0,6,-115,105.0,+1.5(-200),8.5,-110,9.0,-102,CRODON,CRodon,100.0,L,Carlos Rodon,815909CRODON-L
3655,815,910,H,DET,JZIMMERMANN-R,0,0,3,0,0,0,0,0,2,5,105,-115.0,-1.5(+170),8.5,-110,9.0,-118,JZIMMERMANN,JZimmermann,100.0,R,Jordan Zimmermann,815910JZIMMERMANN-R
